"Name","Genes (tot)","Stat (dist.dir)","p (dist.dir.up)","p adj (dist.dir.up)","p (dist.dir.dn)","p adj (dist.dir.dn)","Genes (up)","Genes (down)"
"GO:0006582",25,0.83874,0.0015699,0,NA,NA,19,6
"GO:0010623",22,0.74021,0.0016611,0.0027922,NA,NA,13,9
"GO:0019748",50,0.74618,0.0014771,0,NA,NA,31,19
"GO:0030318",24,0.81233,0.0016556,0,NA,NA,20,4
"GO:0032438",38,0.74243,0.0015152,0,NA,NA,31,7
"GO:0033059",61,0.6655,0.0014388,0,NA,NA,46,15
"GO:0042438",23,0.83758,0.0016978,0,NA,NA,18,5
"GO:0042440",73,0.62923,0.0014205,0,NA,NA,52,21
"GO:0042771",41,0.63145,0.0015152,0.0074855,NA,NA,24,17
"GO:0043455",16,0.8222,0.0016502,0,NA,NA,11,5
"GO:0043473",109,0.66773,0.0013495,0,NA,NA,72,37
"GO:0044550",25,0.81986,0.0015699,0,NA,NA,19,6
"GO:0046148",53,0.6579,0.001462,0,NA,NA,39,14
"GO:0046189",46,0.73401,0.0014535,0,NA,NA,27,19
"GO:0048021",16,0.8222,0.0016502,0,NA,NA,11,5
"GO:0048023",10,0.87198,0.0017241,0.006805,NA,NA,7,3
"GO:0048066",48,0.75353,0.0015038,0,NA,NA,35,13
"GO:0048753",39,0.74843,0.0015015,0,NA,NA,32,7
"GO:0050931",34,0.77849,0.0015408,0,NA,NA,27,7
"GO:0072332",78,0.56825,0.0014025,0.0078795,NA,NA,48,30
"GO:1900376",16,0.8222,0.0016502,0,NA,NA,11,5
"GO:1900378",10,0.87198,0.0017241,0.006805,NA,NA,7,3
