"GO_Term","Adj_P_value"
"GO:0072332",8.14331945818848e-07
"GO:0072331",3.2089348166158e-05
"GO:0034644",4.9643531440301e-05
"GO:0071482",0.000136926740682732
"GO:0009411",0.000360560017885088
"GO:0097193",0.000360560017885088
"GO:0006974",0.000503980895833587
"GO:0071478",0.000503980895833587
"GO:0044773",0.000791167694953877
"GO:0044774",0.000880643081227475
"GO:0033554",0.00145154790827044
"GO:0031571",0.00183278636744503
"GO:0044819",0.00183278636744503
"GO:0000077",0.00298276648590672
"GO:0031570",0.00375767759394135
"GO:0009416",0.00395409667731227
"GO:0007093",0.00400034006291248
"GO:0071214",0.00461994991897566
"GO:0104004",0.00461994991897566
"GO:0097190",0.00495825042225242
"GO:1901990",0.00495825042225242
"GO:0010332",0.00555835346302159
"GO:0042770",0.0095693441803006
"GO:0000075",0.00980416582536421
