"cell_line","tissue_type","TP53_status"
"MCF7","Breast","Mutated"
"MDA-MB-231","Breast","Wildtype"
"HS 578T","Breast","Wildtype"
"BT-549","Breast","Wildtype"
"T-47D","Breast","Wildtype"
"SF-268","CNS","Wildtype"
"SF-295","CNS","Wildtype"
"SF-539","CNS","Wildtype"
"SNB-19","CNS","Wildtype"
"SNB-75","CNS","Wildtype"
"U251","CNS","Wildtype"
"COLO 205","Colon","Wildtype"
"HCC-2998","Colon","Wildtype"
"HCT-116","Colon","Mutated"
"HCT-15","Colon","Wildtype"
"HT29","Colon","Wildtype"
"KM12","Colon","Wildtype"
"SW-620","Colon","Wildtype"
"CCRF-CEM","Leukemia","Wildtype"
"HL-60(TB)","Leukemia","Wildtype"
"K-562","Leukemia","Wildtype"
"MOLT-4","Leukemia","Wildtype"
"RPMI-8226","Leukemia","Wildtype"
"SR","Leukemia","Mutated"
"LOX IMVI","Melanoma","Mutated"
"MALME-3M","Melanoma","Mutated"
"M14","Melanoma","Wildtype"
"SK-MEL-2","Melanoma","Wildtype"
"SK-MEL-28","Melanoma","Wildtype"
"SK-MEL-5","Melanoma","Mutated"
"UACC-257","Melanoma","Mutated"
"UACC-62","Melanoma","Mutated"
"MDA-MB-435","Melanoma","Wildtype"
"MDA-N","Melanoma","Wildtype"
"A549/ATCC","Lung","Mutated"
"EKVX","Lung","Wildtype"
"HOP-62","Lung","Wildtype"
"HOP-92","Lung","Wildtype"
"NCI-H226","Lung","Mutated"
"NCI-H23","Lung","Wildtype"
"NCI-H322M","Lung","Wildtype"
"NCI-H460","Lung","Mutated"
"NCI-H522","Lung","Wildtype"
"IGROV1","Ovarian","Wildtype"
"OVCAR-3","Ovarian","Wildtype"
"OVCAR-4","Ovarian","Wildtype"
"OVCAR-5","Ovarian","Wildtype"
"OVCAR-8","Ovarian","Wildtype"
"SK-OV-3","Ovarian","Wildtype"
"NCI/ADR-RES","Ovarian","Wildtype"
"PC-3","Prostate","Wildtype"
"DU-145","Prostate","Wildtype"
"786-0","Renal","Wildtype"
"A498","Renal","Mutated"
"ACHN","Renal","Mutated"
"CAKI-1","Renal","Mutated"
"RXF 393","Renal","Wildtype"
"SN12C","Renal","Wildtype"
"TK-10","Renal","Wildtype"
"UO-31","Renal","Mutated"
